Date;Healthcare Global ETF(IXJ);MSCI World ETF (URTH);Tbill 1y (IB01.SW);Tbill 7-10y (IGTM.L);Gold ETF (SGOL);Real Estate ETF (VNQ);BTC-USD;Energy ETF (VDE);Oil ETF (HUC.TO);NYSE Composite (^NYA)
24/04/2020;66.55683135986328;81.13618469238281;5.14300012588501;5.789999961853027;16.649999618530273;68.00515747070312;7550.90087890625;42.022010803222656;6.659999847412109;11017.900390625
25/04/2020;;;;;;;7569.93603515625;;;
26/04/2020;;;;;;;7679.8671875;;;
27/04/2020;67.29742431640625;82.35541534423828;5.144000053405762;5.768499851226807;16.540000915527344;70.33275604248047;7795.60107421875;42.93851089477539;6.380000114440918;11264.83984375
28/04/2020;66.27423095703125;82.40379333496094;5.144999980926514;5.78000020980835;16.440000534057617;70.91232299804688;7807.05859375;43.891693115234375;6.349999904632568;11319.7001953125
29/04/2020;66.44963073730469;84.58097839355469;5.144999980926514;5.789000034332275;16.530000686645508;71.97797393798828;8801.0380859375;47.163639068603516;6.460000038146973;11618.23046875
30/04/2020;66.06958770751953;83.56495666503906;5.144000053405762;5.796000003814697;16.25;71.14602661132812;8658.5537109375;46.311279296875;6.809999942779541;11372.33984375
01/05/2020;64.76378631591797;81.4071273803711;;5.781499862670898;16.3700008392334;68.74363708496094;8864.7666015625;43.55258560180664;6.619999885559082;11058.5703125
02/05/2020;;;;;;;8988.5966796875;;;
03/05/2020;;;;;;;8897.46875;;;
04/05/2020;64.94894409179688;81.57162475585938;5.144000053405762;5.78000020980835;16.420000076293945;68.40711212158203;8912.654296875;45.03732681274414;6.849999904632568;11056.2802734375
05/05/2020;66.05009460449219;82.01673889160156;5.144000053405762;5.770999908447266;16.459999084472656;68.74363708496094;9003.0703125;45.11981964111328;7.309999942779541;11135.400390625
06/05/2020;65.62132263183594;81.47486114501953;5.144000053405762;5.747000217437744;16.280000686645508;67.50972747802734;9268.76171875;43.882530212402344;7.050000190734863;10999.990234375
07/05/2020;65.68954467773438;82.54893493652344;5.144000053405762;5.77400016784668;16.530000686645508;68.4725570678711;9951.5185546875;44.89069366455078;6.909999847412109;11121.669921875
08/05/2020;66.03060150146484;84.19392395019531;5.144000053405762;;16.420000076293945;70.09906768798828;9842.666015625;46.952842712402344;7.320000171661377;11354.33984375
09/05/2020;;;;;;;9593.896484375;;;
10/05/2020;;;;;;;8756.4306640625;;;
11/05/2020;66.90764617919922;84.24229431152344;5.144000053405762;5.762499809265137;16.31999969482422;69.08015441894531;8601.7958984375;46.219627380371094;7.159999847412109;11281.3701171875
12/05/2020;66.13780212402344;82.6650619506836;5.144000053405762;5.758999824523926;16.389999389648438;65.93930053710938;8804.4775390625;45.376441955566406;7.03000020980835;11055.580078125
13/05/2020;65.85520935058594;81.37810516357422;5.144000053405762;5.787499904632568;16.530000686645508;64.3408203125;9269.9873046875;43.26845932006836;6.909999847412109;10829.4404296875
14/05/2020;66.1183090209961;81.76515197753906;5.144000053405762;5.749499797821045;16.690000534057617;64.5651626586914;9733.7216796875;43.66256332397461;7.159999847412109;10927.41015625
15/05/2020;66.4301528930664;82.12318420410156;5.144000053405762;5.736000061035156;16.790000915527344;64.31277465820312;9328.197265625;43.69922637939453;7.400000095367432;10947.3203125
16/05/2020;;;;;;;9377.013671875;;;
17/05/2020;;;;;;;9670.7392578125;;;
18/05/2020;67.30717468261719;84.77449798583984;5.144000053405762;5.710999965667725;16.670000076293945;68.11734008789062;9726.5751953125;47.2094612121582;;11402.23046875
19/05/2020;66.60554504394531;83.86491394042969;5.144000053405762;5.709499835968018;16.799999237060547;67.20124816894531;9729.0380859375;45.87135696411133;7.869999885559082;11248.9697265625
